,METROPOLITAN STATISTICAL AREA (MSA),BORROWER CREDIT SCORE AT ORIGINATION,msa,solar_system_count
0,0,758.511672309536,0.0,16.74576271186441
1,10180,764.0814977973569,10180.0,2.9655172413793105
2,10380,741.3964794635373,,
3,10420,763.8128104575163,10420.0,1.6962962962962962
4,10500,727.425855513308,10500.0,1.3076923076923077
5,10540,770.6041095890411,10540.0,8.857142857142858
6,10580,762.0478527607362,10580.0,18.28921568627451
7,10740,764.883460949464,10740.0,46.54891304347826
8,10780,740.7398297067172,10780.0,6.357142857142857
9,10900,758.395761078998,10900.0,8.366013071895425
10,11020,744.3292978208233,11020.0,2.576923076923077
11,11100,740.122648607976,11100.0,2.377049180327869
12,11180,771.5616438356165,11180.0,2.0
13,11260,762.9023242130038,,
14,11300,745.8974358974359,11300.0,1.6363636363636365
15,11340,769.4285714285714,11340.0,3.2083333333333335
16,11460,771.9926835024781,11460.0,3.831460674157303
17,11500,773.7526041666666,11500.0,1.44
18,11540,760.4314341846758,11540.0,3.1739130434782608
19,11640,751.4852941176471,,
20,11700,760.2091084028223,11700.0,6.271428571428571
21,12020,769.4023825281271,12020.0,2.259259259259259
22,12060,765.8846354095306,12060.0,2.6659012629161882
23,12100,754.1950819672131,12100.0,55.12280701754386
24,12220,758.5948979591836,12220.0,2.0
25,12260,756.1269177126918,12260.0,2.01980198019802
26,12420,764.0924843335997,12420.0,18.97151898734177
27,12540,755.6361809045226,12540.0,191.64566929133858
28,12580,765.8887020140436,12580.0,6.647951441578149
29,12620,705.1481481481482,12620.0,1.675
30,12700,764.22477827051,12700.0,72.52
31,12940,750.640749601276,12940.0,17.56338028169014
32,12980,762.491961414791,12980.0,3.4782608695652173
33,13020,740.8356890459364,13020.0,3.272727272727273
34,13140,765.8886363636364,13140.0,3.011764705882353
35,13220,757.9803921568628,13220.0,0.7857142857142857
36,13380,772.6631832797427,13380.0,16.785714285714285
37,13460,773.5573394495412,13460.0,21.333333333333332
38,13740,770.1488673139158,13740.0,3.125
39,13780,735.6202723146747,13780.0,4.0
40,13820,759.3882184251404,13820.0,1.697211155378486
41,13900,759.5031955688113,13900.0,3.1666666666666665
42,13980,763.4935153583617,13980.0,5.875
43,14010,756.7546583850932,,
44,14020,774.6824644549763,14020.0,3.2666666666666666
45,14060,759.9150579150579,14060.0,3.176470588235294
46,14100,742.8039772727273,14100.0,0.0
47,14260,764.6129587155963,14260.0,8.352941176470589
48,14460,763.4096354069485,14460.0,30.626666666666665
49,14500,774.4980009595395,14500.0,62.125
50,14540,782.1889763779527,14540.0,5.5
51,14740,742.077032810271,14740.0,7.865384615384615
52,14860,769.5151402793227,14860.0,18.92
53,15180,726.6889400921659,15180.0,2.1686746987951806
54,15260,770.5883171070932,15260.0,2.1
