,METROPOLITAN STATISTICAL AREA (MSA),ORIGINAL DEBT TO INCOME RATIO,msa,solar_system_count
131,22660,31.0,22660.0,18.636363636363637
132,22900,30.0,22900.0,3.509433962264151
133,23060,29.0,23060.0,1.7378640776699028
134,23420,33.0,23420.0,130.1741935483871
135,23460,34.0,23460.0,1.65
136,23540,28.0,23540.0,18.75
137,23580,31.0,23580.0,2.7948717948717947
138,23900,27.0,23900.0,3.8181818181818183
139,24020,31.0,24020.0,7.526315789473684
140,24140,34.0,24140.0,3.9411764705882355
141,24220,28.0,24220.0,3.5789473684210527
142,24260,33.0,24260.0,4.625
143,24300,33.0,24300.0,72.92592592592592
144,24340,29.0,24340.0,2.4642857142857144
145,24420,28.0,24420.0,0.0
146,24500,35.0,24500.0,2.7142857142857144
147,24540,31.0,24540.0,24.009615384615383
148,24580,32.0,24580.0,3.180327868852459
149,24660,29.0,24660.0,2.767123287671233
150,24780,28.0,24780.0,3.8
151,24860,29.0,24860.0,3.6783216783216783
152,25020,32.0,,
153,25060,34.0,25060.0,3.630434782608696
154,25180,27.0,25180.0,10.073170731707316
155,25220,36.0,25220.0,18.181818181818183
156,25260,36.0,25260.0,171.47826086956522
157,25420,31.0,25420.0,6.233009708737864
158,25500,31.0,25500.0,4.571428571428571
159,25540,32.0,25540.0,25.735294117647058
160,25620,28.0,25620.0,0.7142857142857143
161,25860,30.0,25860.0,4.846153846153846
162,25940,29.0,25940.0,3.619047619047619
163,25980,35.0,25980.0,2.066666666666667
164,26100,30.0,26100.0,5.786885245901639
165,26140,33.0,26140.0,100.57692307692308
166,26180,34.0,,
167,26300,33.0,26300.0,1.5
168,26380,26.0,26380.0,11.625
169,26420,32.0,26420.0,2.8881322957198443
170,26580,31.0,26580.0,2.3636363636363638
171,26620,28.0,26620.0,3.623529411764706
172,26820,28.0,26820.0,3.3846153846153846
173,26900,29.0,26900.0,3.9019073569482288
174,26980,31.0,26980.0,5.78125
175,27060,18.0,27060.0,6.848484848484849
176,27100,27.0,27100.0,1.3658536585365855
177,27140,29.0,27140.0,2.35
178,27180,29.0,27180.0,3.0
179,27260,32.0,27260.0,17.291666666666668
180,27340,29.0,27340.0,6.333333333333333
181,27500,28.0,27500.0,3.59375
182,27620,29.0,27620.0,6.54054054054054
183,27740,31.0,27740.0,2.619047619047619
184,27780,31.0,27780.0,1.1538461538461537
185,27860,27.0,27860.0,4.461538461538462
186,27900,28.0,27900.0,7.655172413793103
187,27980,32.0,,
188,28020,27.0,28020.0,2.4871794871794872
189,28100,37.0,28100.0,2.0555555555555554
190,28140,30.0,28140.0,4.711111111111111
191,28420,31.0,28420.0,16.02127659574468
192,28660,33.0,28660.0,5.811594202898551
193,28700,34.0,28700.0,2.915492957746479
194,28740,38.0,28740.0,13.947368421052632
195,28940,32.0,28940.0,2.774193548387097
196,29020,27.0,29020.0,2.933333333333333
197,29100,31.0,29100.0,2.8
198,29140,30.0,29140.0,3.8205128205128207
199,29180,32.0,29180.0,17.448979591836736
200,29200,32.0,,
201,29340,31.0,29340.0,7.413043478260869
202,29420,34.0,29420.0,42.975
203,29460,31.0,29460.0,28.6013986013986
204,29540,33.0,29540.0,10.636363636363637
205,29620,32.0,29620.0,2.201550387596899
206,29700,43.0,29700.0,3.0163934426229506
207,29740,32.0,29740.0,51.609756097560975
208,29820,33.0,29820.0,76.64830508474576
209,29940,35.0,29940.0,7.315789473684211
210,30020,34.0,30020.0,2.7333333333333334
211,30140,32.0,30140.0,6.162162162162162
212,30300,35.0,30300.0,6.428571428571429
213,30340,36.0,30340.0,1.2592592592592593
214,30460,30.0,30460.0,2.6134453781512605
215,30620,36.0,30620.0,4.555555555555555
216,30700,32.0,30700.0,2.891891891891892
217,30780,32.0,30780.0,2.2333333333333334
218,30860,34.0,30860.0,4.6923076923076925
219,30980,32.0,30980.0,2.0
220,31020,30.0,31020.0,2.5
221,31080,35.0,,
222,31100,35.0,31100.0,50.67430207587688
223,31140,30.0,31140.0,1.9679487179487178
224,31180,33.0,31180.0,2.4166666666666665
225,31340,32.0,31340.0,1.411764705882353
226,31420,33.0,31420.0,3.037037037037037
227,31460,32.0,31460.0,135.1578947368421
228,31540,31.0,31540.0,5.715596330275229
229,31700,31.0,31700.0,8.505882352941176
230,31740,44.0,31740.0,3.625
231,31860,33.0,31860.0,3.210526315789474
232,31900,34.0,31900.0,1.6153846153846154
233,32420,25.0,,
234,32580,36.0,32580.0,3.849557522123894
235,32780,34.0,32780.0,23.51851851851852
236,32820,30.0,32820.0,2.6621621621621623
237,32900,29.0,32900.0,112.16666666666667
238,33100,36.0,33100.0,14.633333333333333
239,33140,29.0,33140.0,2.586206896551724
240,33220,30.0,33220.0,2.9285714285714284
241,33260,32.0,33260.0,8.73076923076923
242,33340,29.0,33340.0,2.377450980392157
243,33460,32.0,33460.0,3.510610079575597
244,33540,29.0,33540.0,14.266666666666667
245,33660,29.0,33660.0,1.6111111111111112
246,33700,29.0,33700.0,66.25581395348837
247,33740,32.0,33740.0,4.170731707317073
248,33780,31.0,33780.0,3.442622950819672
249,33860,31.0,33860.0,3.4
250,34060,20.0,34060.0,1.5227272727272727
251,34100,28.0,34100.0,2.2083333333333335
252,34580,33.0,34580.0,9.11111111111111
253,34620,37.0,34620.0,1.967741935483871
254,34740,31.0,34740.0,3.196078431372549
255,34820,34.0,34820.0,3.9285714285714284
256,34900,35.0,34900.0,81.41025641025641
257,34940,35.0,34940.0,66.09876543209876
258,34980,32.0,34980.0,2.6605263157894736
259,35100,30.0,35100.0,3.292682926829268
260,35300,32.0,35300.0,23.869318181818183
261,35380,33.0,35380.0,34.287958115183244
262,35620,33.0,35620.0,18.65583389754006
263,35660,29.0,35660.0,1.7179487179487178
264,35840,36.0,35840.0,93.57485029940119
265,35980,29.0,35980.0,25.6
266,36100,34.0,36100.0,32.471698113207545
267,36140,34.0,36140.0,55.064516129032256
268,36220,31.0,36220.0,3.5555555555555554
269,36260,30.0,36260.0,33.23
270,36420,30.0,36420.0,2.3911764705882352
271,36500,32.0,36500.0,8.5
272,36540,31.0,36540.0,2.58
273,36740,32.0,36740.0,63.02374670184697
274,36780,30.0,36780.0,2.549019607843137
275,36980,34.0,36980.0,2.24
276,37100,32.0,37100.0,98.5421052631579
277,37340,30.0,37340.0,83.50467289719626
278,37380,37.0,37380.0,151.92857142857142
279,37460,34.0,37460.0,5.324324324324325
280,37620,29.0,37620.0,1.6923076923076923
281,37700,32.0,37700.0,3.4827586206896552
282,37860,30.0,37860.0,10.16842105263158
283,37900,29.0,37900.0,2.32
284,37980,32.0,37980.0,13.662078458362009
285,38060,32.0,38060.0,77.4681960375391
286,38220,40.0,38220.0,1.6470588235294117
287,38300,30.0,38300.0,1.8785714285714286
288,38340,29.0,38340.0,5.947368421052632
289,38540,35.0,38540.0,3.4347826086956523
290,38660,30.0,,
291,38860,31.0,38860.0,3.4403669724770642
292,38900,32.0,38900.0,20.073839662447256
293,38940,38.0,38940.0,60.8936170212766
294,39100,29.0,39100.0,26.22
295,39140,33.0,39140.0,79.32558139534883
296,39150,34.0,,
297,39300,32.0,39300.0,18.438356164383563
298,39340,30.0,39340.0,23.426356589147286
299,39380,24.0,39380.0,8.660377358490566
300,39460,33.0,39460.0,132.23529411764707
301,39540,32.0,39540.0,2.6666666666666665
302,39580,29.0,39580.0,5.780952380952381
303,39660,31.0,39660.0,3.2916666666666665
304,39740,31.0,39740.0,4.084033613445378
305,39820,33.0,39820.0,19.804347826086957
306,39900,30.0,39900.0,18.054545454545455
307,40060,30.0,40060.0,2.111111111111111
308,40140,34.0,40140.0,120.66503667481662
309,40220,30.0,40220.0,2.5443037974683542
310,40340,25.0,40340.0,4.069767441860465
311,40380,34.0,40380.0,3.3346456692913384
312,40420,28.0,40420.0,2.9444444444444446
313,40580,21.0,40580.0,6.48
314,40660,30.0,40660.0,4.5
315,40900,33.0,40900.0,102.03470715835141
316,40980,30.0,40980.0,1.3714285714285714
317,41060,32.0,41060.0,3.40625
318,41100,31.0,41100.0,26.9
319,41140,29.0,41140.0,12.971428571428572
320,41180,30.0,41180.0,6.098993288590604
321,41420,32.0,41420.0,20.842105263157894
322,41500,33.0,41500.0,62.19047619047619
323,41540,32.0,41540.0,6.615384615384615
324,41620,31.0,41620.0,28.262443438914026
325,41660,31.0,41660.0,4.0
326,41700,32.0,41700.0,19.339912280701753
327,41740,34.0,41740.0,169.04152823920265
328,41780,28.0,41780.0,2.107142857142857
329,41860,33.0,41860.0,84.45116772823779
330,41900,29.0,,
331,41940,33.0,41940.0,103.40874035989717
332,41980,33.0,,
333,42020,33.0,42020.0,42.56521739130435
334,42060,33.0,42060.0,69.82608695652173
335,42100,31.0,42100.0,76.37254901960785
336,42140,31.0,42140.0,14.43859649122807
337,42200,32.0,,
338,42220,34.0,42220.0,77.98936170212765
339,42340,32.0,42340.0,3.2650602409638556
340,42540,32.0,42540.0,4.568862275449102
341,42660,32.0,42660.0,10.518518518518519
342,42680,31.0,42680.0,68.57692307692308
343,42700,41.0,42700.0,17.0
344,43100,34.0,43100.0,2.774193548387097
345,43300,31.0,43300.0,1.7037037037037037
346,43340,32.0,43340.0,9.752808988764045
