,METROPOLITAN STATISTICAL AREA (MSA),ORIGINAL INTEREST RATE,msa,solar_system_count
0,0,3.683436835557638,0.0,16.74576271186441
1,10180,3.6365638766519823,10180.0,2.9655172413793105
2,10380,3.318419949706622,,
3,10420,3.7861751633986866,10420.0,1.6962962962962962
4,10500,3.9617870722433506,10500.0,1.3076923076923077
5,10540,4.1212328767123285,10540.0,8.857142857142858
6,10580,3.650426818580206,10580.0,18.28921568627451
7,10740,3.7906078101072316,10740.0,46.54891304347826
8,10780,3.709200567644276,10780.0,6.357142857142857
9,10900,3.77936705202312,10900.0,8.366013071895425
10,11020,3.833232445520581,11020.0,2.576923076923077
11,11100,3.9342494356659277,11100.0,2.377049180327869
12,11180,3.7819991438356166,11180.0,2.0
13,11260,3.48780170638423,,
14,11300,3.9391025641025643,11300.0,1.6363636363636365
15,11340,3.9732142857142856,11340.0,3.2083333333333335
16,11460,3.365179608213365,11460.0,3.831460674157303
17,11500,3.6149088541666665,11500.0,1.44
18,11540,3.425284872298611,11540.0,3.1739130434782608
19,11640,3.823529411764706,,
20,11700,3.7656199486850466,11700.0,6.271428571428571
21,12020,3.7378391793514227,12020.0,2.259259259259259
22,12060,3.7367438138821862,12060.0,2.6659012629161882
23,12100,3.6809426229508198,12100.0,55.12280701754386
24,12220,3.4937729591836644,12220.0,2.0
25,12260,3.497094374709431,12260.0,2.01980198019802
26,12420,3.7703213191792453,12420.0,18.97151898734177
27,12540,3.8832894472361774,12540.0,191.64566929133858
28,12580,3.7040774502797116,12580.0,6.647951441578149
29,12620,4.111111111111111,12620.0,1.675
30,12700,3.449624445676267,12700.0,72.52
31,12940,3.7577963849016656,12940.0,17.56338028169014
32,12980,4.367765273311897,12980.0,3.4782608695652173
33,13020,4.095185512367491,13020.0,3.272727272727273
34,13140,3.7696022727272727,13140.0,3.011764705882353
35,13220,3.7941176470588234,13220.0,0.7857142857142857
36,13380,3.7214891479099608,13380.0,16.785714285714285
37,13460,3.757454128440367,13460.0,21.333333333333332
38,13740,3.6469795037756203,13740.0,3.125
39,13780,4.0196671709531016,13780.0,4.0
40,13820,3.823072051619072,13820.0,1.697211155378486
41,13900,3.8688751597784408,13900.0,3.1666666666666665
42,13980,3.931399317406145,13980.0,5.875
43,14010,3.784743788819876,,
44,14020,3.237559241706161,14020.0,3.2666666666666666
45,14060,3.8986486486486487,14060.0,3.176470588235294
46,14100,3.8666193181818183,14100.0,0.0
47,14260,3.957499426605491,14260.0,8.352941176470589
48,14460,3.623086278314724,14460.0,30.626666666666665
49,14500,3.7638525507756264,14500.0,62.125
50,14540,3.688690944881891,14540.0,5.5
51,14740,3.8557489300998538,14740.0,7.865384615384615
52,14860,3.6055413422321347,14860.0,18.92
53,15180,3.798099078341014,15180.0,2.1686746987951806
54,15260,3.437267037552153,15260.0,2.1
55,15380,3.747618361465617,15380.0,6.05338078291815
56,15500,3.4263279932546373,15500.0,1.75
57,15540,3.7301542933810374,15540.0,7.111111111111111
58,15680,3.4001168224299065,,
59,15940,3.7167332952598513,15940.0,2.0470588235294116
60,15980,3.8359540937996632,15980.0,86.43448275862069
61,16020,3.426470588235294,16020.0,4.947368421052632
62,16060,3.64453125,16060.0,1.1666666666666667
63,16180,4.030414925373139,16180.0,15.875
64,16220,4.000806451612903,16220.0,4.333333333333333
65,16300,3.359209597741708,16300.0,5.375
66,16540,3.7221799807507154,16540.0,4.304347826086956
67,16580,3.6055686406460294,16580.0,5.06
68,16620,4.150248120300753,16620.0,1.5161290322580645
69,16700,3.7973787709497313,16700.0,16.762237762237763
70,16740,3.6656141797196637,16740.0,3.1778350515463916
71,16820,3.5727391507232857,16820.0,3.3529411764705883
72,16860,3.9083486640385385,16860.0,4.468085106382978
73,16940,4.08862506341958,16940.0,4.8
74,16980,3.676930591334852,16980.0,2.2780102278010226
75,17020,3.778356411800115,17020.0,57.21875
76,17140,3.596633314137644,17140.0,2.7735042735042734
77,17300,3.5538461538461537,17300.0,1.3653846153846154
78,17420,3.6422413793103448,17420.0,2.1153846153846154
79,17460,3.6660417219218684,17460.0,2.1565891472868217
80,17660,3.6494235294117456,17660.0,4.043478260869565
81,17780,3.8637091607943628,17780.0,2.380952380952381
82,17820,3.7517404916512356,17820.0,11.8
83,17860,3.5983865889212865,17860.0,6.538461538461538
84,17900,3.726202722590157,17900.0,8.869047619047619
85,17980,3.524421052631566,17980.0,2.2337662337662336
86,18020,3.491323185011711,18020.0,2.0
87,18140,3.7480387312187524,18140.0,2.3529411764705883
88,18580,3.838290863890595,18580.0,2.3440860215053765
89,18700,3.9209081836327346,18700.0,34.4
90,18880,3.752870018975326,18880.0,7.466666666666667
91,19060,3.8537549407114624,19060.0,1.25
92,19100,3.7595956550384892,19100.0,9.0103668261563
93,19140,3.670643153526971,19140.0,5.551724137931035
94,19180,2.6826923076923075,19180.0,1.44
95,19300,3.779453883495138,19300.0,6.615384615384615
96,19340,3.62810343986338,19340.0,1.8041237113402062
97,19380,4.078110704483074,19380.0,2.342995169082126
98,19430,4.115338164251208,,
99,19460,3.6363013698630136,19460.0,1.9189189189189189
100,19500,3.5270418848167595,19500.0,0.9354838709677419
101,19660,3.9191492295214787,19660.0,56.10989010989011
102,19740,3.827649940405263,19740.0,33.55336617405583
103,19780,3.5983603238866557,19780.0,3.4051724137931036
104,19820,3.773999929755523,19820.0,2.0859437751004015
105,20020,4.085234093637455,20020.0,1.1428571428571428
106,20100,3.421638554216847,20100.0,27.52173913043478
107,20220,3.5911921708185055,20220.0,4.782608695652174
108,20260,3.811993243243243,20260.0,1.4142857142857144
109,20500,3.6727505075569424,20500.0,6.24468085106383
110,20700,4.001010781671159,20700.0,2.6538461538461537
111,20740,3.518728908886389,20740.0,2.0
112,20940,3.9705572755417977,20940.0,67.4
113,21060,3.524161735700197,21060.0,1.6666666666666667
114,21140,3.6627684049079754,21140.0,3.90625
115,21300,3.5,21300.0,2.5172413793103448
116,21340,3.8115806172483415,21340.0,26.946308724832214
117,21420,3.6268939393939394,21420.0,7.454545454545454
118,21500,3.9177071509648127,21500.0,2.413793103448276
119,21660,3.896829115901281,21660.0,15.012658227848101
120,21780,3.8371093000958614,21780.0,3.4
121,21820,3.3843465539661897,,
